ASSETID,PERIOD,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE
A16569829918816590384,201806,111000,80,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920.0,2.0,1.0,1920,5,11,8,0,1,0,541064378434101,395538491298991,856883235200682,-372558576829761,394734807865961
A4485947398115289371,201806,861000,269,5,3,1,1,1,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1965.0,8.0,1.0,1965,12,49,2,0,0,1,716332825994226,271137496687678,79607786116002,-369073445048739,394725010579099
A2802085443979686010,201806,148000,35,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,5.0,1.0,1910,6,10,4,0,0,1,697901735805888,614786681058615,74645585390155,-373113243588374,394754212066911
A2850437995304643208,201806,239000,110,3,2,0,1,1,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2015.0,2.0,1.0,2015,6,12,5,0,0,1,944258982778548,680244205024825,144534937603255,-38255466642791,394769044893007
A9282607247984438282,201806,258000,70,1,1,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,4.0,1.0,2012,4,13,7,0,1,0,819956027191015,664942000372658,142103233935666,-381954010015709,394758729643635
A11991210802573392643,201806,133000,46,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1820.0,3.0,,1820,3,5,6,0,0,1,943091129169522,106371027744105,999315746578787,-377565315654594,394782063812911
A6660288390696960916,201806,183000,119,3,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1947.0,1.0,1.0,1947,5,10,7,0,0,1,927038087256495,940308180814466,115666227209254,-379346669603632,394778231548105
A6735845538124671571,201806,195000,182,1,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2015.0,0.0,1.0,2015,3,7,8,0,0,1,118019639041324,84907471798716,125700989548128,-380628582102856,39479906062029
A11040853901384481413,201806,391000,175,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,2.0,1.0,1900,4,9,4,0,1,0,7333277173532,882809829001566,109604056322163,-378150426374819,394762466589405
A620174894310311684,201806,236000,122,3,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1962.0,2.0,1.0,1962,6,12,5,0,0,1,926062609841814,726577538915498,139541620865416,-381982167938485,394769816808226
A10972359405528238824,201806,254000,95,2,2,0,1,1,3,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2000.0,3.0,1.0,2000,5,5,6,0,0,1,882670330168513,95864355171937,901566191586535,-37630594970746,394776914793954
A17117746754993567051,201806,244000,122,3,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1962.0,2.0,1.0,1962,6,12,5,0,0,1,983055539919388,695885000762046,140884801804285,-382243365905904,394774560225156
A16240662548944316203,201806,230000,115,3,2,0,1,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2015.0,2.0,1.0,2015,6,22,5,0,0,1,936698849474803,721028960511934,139722509054124,-382025250506423,394770727393932
A11186447593652589727,201806,170000,122,3,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1968.0,4.0,1.0,1968,6,22,5,0,0,1,95027656005713,634895279039425,150497660885432,-383192662209308,394766305762934
A1526327768437498567,201806,360000,120,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2.0,1.0,1978,4,9,4,0,1,0,772983355012307,890557582977375,111260461718864,-378475754400018,394765602974821
A2368160294129190875,201806,243000,93,3,2,1,1,1,3,0,0,30001,0,0,1,1,0,1,0,0,0,1,0,0,2005.0,4.0,1.0,2005,6,21,4,0,0,1,107785393009961,871622841340386,121727787397393,-380184121814565,394790492161397
A15976650752680697101,201806,192000,88,3,2,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1900.0,5.0,1.0,1900,5,11,5,0,0,1,104300105853345,659786668052236,143364022254894,-382609776622621,394779147158754
A3226652340386221529,201806,76000,43,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0,1996,3,6,4,0,0,1,116116248469905,879945007772025,122287345838373,-380236705863353,394798161488938
A12152955664033865367,201806,253000,117,3,2,0,1,1,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1968.0,4.0,1.0,1968,7,14,7,0,0,1,892824141498175,834147205001697,128146853937856,-380673885332224,394771503925308
A11524483096511209636,201806,162000,96,3,2,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,3.0,1.0,1967,7,11,6,0,1,0,953914225711425,648755379471426,148227272267817,-382965570132079,394767966294471
A17585544747984314435,201806,169000,67,3,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1860.0,1.0,1.0,1860,4,5,6,0,0,1,993968770528145,757650853015434,133706453280315,-381472191867157,394778710699628
A11605396169906103795,201806,269000,101,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1870.0,3.0,,1870,4,5,4,0,0,1,924576500770737,102380663177328,951319180978217,-376977691777152,394780669956638
A8398342838055911030,201806,198000,182,1,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014.0,0.0,1.0,2014,4,10,4,0,0,1,121209906146756,886174367064029,123186697217634,-380300779404282,394802770417101
A10230967445262691320,201806,194000,91,3,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1900.0,5.0,1.0,1900,5,11,5,0,1,0,975857286802642,716378258171506,138750416479451,-381998103953058,39477486532449
A16843462288599527441,201806,209000,94,2,1,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1880.0,3.0,1.0,1880,5,6,6,0,0,1,815716488801416,79330647261468,126756672851709,-38032586323286,394765119318307
A13206101176356964218,201806,237000,122,3,2,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1962.0,2.0,1.0,1962,6,12,5,0,0,1,937219522808125,720042409472038,139820219913226,-38203686526849,394770730010584
A6523789375138611661,201806,182000,75,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920.0,1.0,1.0,1920,3,7,7,0,0,1,120750830442452,880659353285382,123550873267821,-380349267902639,394802240820851
A11961087007302436019,201806,201000,110,4,3,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,2.0,1.0,1971,6,37,5,0,0,1,970838493428546,65292957532012,146668142417881,-382839971905367,394770460471796
