ASSETID;PERIOD;PRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;AMENITYID;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;FLATLOCATIONID;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_BLASCO;LONGITUDE;LATITUDE
A13191777097868130826;201806;90000;85;3;1;0;1;0;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;NA;6;1;1955;7;15;7;0;1;0;253.623.054.173.059;0.354904079516559;0.666253643333246;-0.347246341151073;394.675.455.133.189
A3204289818215699526;201806;88000;80;3;1;0;1;0;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;NA;4;1;1966;8;33;6;0;0;1;249.824.216.548.541;0.390325065823653;0.677628758585334;-0.347686945759704;39.467.573.587.677
A9088793793939419017;201806;128000;110;4;2;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;1;1976;7;29;5;0;0;1;268.607.110.181.811;0.208191977634198;0.529311296811691;-0.345412468246324;394.683.955.039.662
A2090671015835000831;201806;81000;69;3;1;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1965;2;NA;1965;5;11;7;0;0;1;246.963.750.364.304;0.279664145933352;0.557903400626484;-0.347907539283133;394.688.038.134.677
A1659812417577369445;201806;115000;80;3;1;0;1;1;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1963;4;1;1963;16;64;7;0;0;1;225.331.139.218.339;0.521953551390311;0.975746074206236;-0.350944353004096;394.656.569.490.925
A16240463561511963989;201806;168000;110;3;2;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;NA;1;1;2014;2;4;7;0;0;1;31.601.716.293.951;0.256758102400455;0.90296360973455;-0.340818547345341;394.632.816.079.179
A12779741911820751628;201806;158000;112;4;2;1;1;0;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1977;1;1;1977;5;9;8;0;0;1;318.090.794.229.503;0.129598443504288;0.713397750606931;-0.340140017453829;394.649.236.907.398
A13686726162142785845;201806;134000;62;1;2;1;1;0;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1955;7;1;1955;8;17;7;0;0;1;245.586.212.844.198;0.358346298933032;0.686680711877668;-0.348171950953358;394.676.567.261.174
A8347054036498484071;201806;49000;86;3;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1964;NA;NA;1964;7;15;6;0;0;1;304.273.873.010.629;0.388463153036671;0.995749922744745;-0.342356518321085;394.628.753.599.905
A12604351234397045784;201806;147000;105;3;2;0;1;1;3;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1983;7;1;1983;7;155;5;0;0;1;298.015.908.428.192;0.446984132232965;102.120.610.050.197;-0.34312531004997;394.628.298.771.659
A16837637853217578185;201806;64000;52;3;1;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1955;1;1;1955;3;13;7;0;0;1;342.611.089.488.221;0.169023627588503;0.51435468420624;-0.337085109610043;394.657.906.401.824
A7902734923821451907;201806;168000;119;4;2;1;1;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1973;1;1;1973;8;30;5;0;0;1;316.979.228.682.988;0.148032545213058;0.6554867888518;-0.340153595129119;394.654.825.441.673
A9340869162445061456;201806;182000;96;2;2;0;1;0;3;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1992;5;1;1992;7;120;5;0;0;1;334.748.795.615.959;0.15017503633057;0.511553843541334;-0.337956675458659;394.660.988.881.679
A6488341630231798069;201806;75000;73;3;1;0;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;NA;2;2;1964;6;23;7;0;1;0;244.943.210.259.313;0.505218728188927;0.867561342695197;-0.348537125977952;394.659.984.374.194
A3065011589434777579;201806;153000;119;4;2;1;1;0;3;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1973;1;1;1973;8;30;5;0;0;1;308.866.696.379.656;0.225539476813483;0.678014271098119;-0.341091804071673;394.655.670.751.772
A17823556271588663886;201806;69000;100;4;1;0;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;3;2;1950;2;5;6;0;0;1;290.301.629.082.712;0.395936522734126;0.892639528336056;-0.343606387559215;394.642.372.321.854
A16101057363067232936;201806;101000;86;3;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;1967;8;11;7;0;0;1;291.714.790.795.802;0.363885959884861;0.856143860898343;-0.343363525642179;394.645.109.521.365
A11112709453096523411;201806;176000;115;3;2;1;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1989;1;1;1989;6;14;6;0;0;1;202.633.817.385.896;0.22098431848804;0.576630748485263;-0.353042616056372;394.700.920.294.551
A14702665657117475888;201806;147000;71;2;1;0;0;1;3;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1910;1;1;1910;3;6;5;0;0;1;179.183.599.885.558;0.554943671480686;0.923976793112104;-0.355962500652777;394.675.729.830.641
A8879843963679550716;201806;188000;102;3;2;1;1;1;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1953;0;1;1953;7;13;6;0;0;1;182.916.933.039.703;0.484118130539658;0.84023449799103;-0.355425959621809;394.682.364.323.244
A17124504817285736119;201806;116000;101;2;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;1;2014;3;10;5;0;0;1;19.254.328.343.861;0.545308192843859;0.985962080185705;-0.354593147350847;394.665.958.987.065
A17610120210903342118;201806;111000;105;3;1;0;0;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1969;2;1;1969;5;16;7;0;0;1;19.469.142.899.586;0.299494856156606;0.599703412541511;-0.353969294767472;394.701.761.944.716
A4949289368307844710;201806;157000;99;2;2;0;1;1;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;NA;5;1;1983;7;29;6;0;0;1;225.495.871.442.658;0.281932489126706;0.739357987140301;-0.350502726992108;394.677.999.763.925
A12479109824922950287;201806;199000;100;4;2;0;1;1;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;NA;2;1;1975;7;64;5;0;0;1;225.492.928.762.341;0.51986375563741;0.973230843426145;-0.350920444831101;39.465.674.421.642
A12873343638463979572;201806;135000;118;4;2;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1976;5;1;1976;7;15;6;0;0;1;187.334.021.910.885;0.392255901200699;0.71914568818605;-0.354829995681684;394.692.408.595.797
A3045603057610676567;201806;130000;78;2;1;0;1;1;3;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1980;7;1;1980;10;19;4;0;0;1;177.131.198.983.035;0.444062019073441;0.819778479641326;-0.356063677678892;394.685.842.673.999
A10877866610308076854;201806;143000;60;2;1;0;1;0;3;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;NA;NA;1;1981;7;71;4;0;0;1;22.446.459.773.027;0.494124276999959;0.950295865661817;-0.35098124112934;39.465.910.035.427
A6509759872839497156;201806;140000;130;4;2;0;1;1;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;NA;5;1;1977;5;11;7;0;0;1;207.638.719.248.988;0.175861105552507;0.49899772262843;-0.352485531414295;394.706.829.263.343
A18063851388146722040;201806;85000;67;3;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;NA;1954;6;35;6;0;1;0;205.084.989.722.391;0.531110533936346;0.997177827702236;-0.353241950764771;394.660.606.417.379
A14519405134463416495;201806;95000;94;3;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1974;1;NA;1974;7;21;5;0;0;1;213.202.873.339.999;0.299061105508324;0.769811003409492;-0.351929069547727;394.678.865.393.523
A2507571702304034841;201806;117000;85;2;1;0;0;1;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1950;3;1;1950;4;5;7;0;0;1;196.100.380.372.573;0.291477346888719;0.635393839337404;-0.353799176120978;394.697.579.176.003
A9065996435803203656;201806;190000;108;3;2;0;1;0;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1994;5;1;1994;7;15;6;0;0;1;186.256.360.894.285;0.411149431396159;0.744984899003298;-0.354965925782436;394.690.277.430.771
